yourlist:M2014110413E2QBPDYQ	Entry	Entry name	Protein names
5893	B7Z5Q6	B7Z5Q6_HUMAN	cDNA FLJ57177, highly similar to DNA repair protein RAD52 homolog
5893	F5GX32	F5GX32_HUMAN	DNA repair protein RAD52 homolog
5893	F5H3Q1	F5H3Q1_HUMAN	DNA repair protein RAD52 homolog
5893	P43351	RAD52_HUMAN	DNA repair protein RAD52 homolog
5893	Q5DR82	Q5DR82_HUMAN	RAD52 homolog (S. cerevisiae), isoform CRA_c (Rhabdomyosarcoma antigen MU-RMS-40.23) (cDNA FLJ77029, highly similar to Homo sapiens RAD52 homolog (S. cerevisiae) (RAD52), transcript variant alpha, mRNA)
572	Q92934	BAD_HUMAN	Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death)
51056	P28838	AMPL_HUMAN	Cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase 3) (LAP-3) (Leucyl aminopeptidase) (Peptidase S) (Proline aminopeptidase) (EC 3.4.11.5) (Prolyl aminopeptidase)
4267	A8MQT7	A8MQT7_HUMAN	CD99 antigen
4267	P14209	CD99_HUMAN	CD99 antigen (12E7) (E2 antigen) (Protein MIC2) (T-cell surface glycoprotein E2) (CD antigen CD99)
9957	O14792	HS3S1_HUMAN	Heparan sulfate glucosamine 3-O-sulfotransferase 1 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 1) (3-OST-1) (Heparan sulfate 3-O-sulfotransferase 1) (h3-OST-1)
51384	E9PH60	E9PH60_HUMAN	Protein Wnt
51384	Q9UBV4	WNT16_HUMAN	Protein Wnt-16
23072	Q76N89	HECW1_HUMAN	E3 ubiquitin-protein ligase HECW1 (EC 6.3.2.-) (HECT, C2 and WW domain-containing protein 1) (NEDD4-like E3 ubiquitin-protein ligase 1) (hNEDL1)
8379	Q9Y6D9	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181)
3927	B4DIC4	B4DIC4_HUMAN	cDNA FLJ52195, highly similar to LIM and SH3 domain protein 1
3927	Q14847	LASP1_HUMAN	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)
29916	Q9Y5W9	SNX11_HUMAN	Sorting nexin-11
55365	Q96HP8	T176A_HUMAN	Transmembrane protein 176A (Hepatocellular carcinoma-associated antigen 112)
4074	P20645	MPRD_HUMAN	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)
90293	B7ZB44	B7ZB44_HUMAN	cDNA, FLJ79408, highly similar to Kelch-like protein 13
90293	Q96HC9	Q96HC9_HUMAN	KLHL13 protein (Fragment)
90293	Q9P2N7	KLH13_HUMAN	Kelch-like protein 13 (BTB and kelch domain-containing protein 2)
56603	Q9NR63	CP26B_HUMAN	Cytochrome P450 26B1 (EC 1.14.-.-) (Cytochrome P450 26A2) (Cytochrome P450 retinoic acid-inactivating 2) (Cytochrome P450RAI-2) (Retinoic acid-metabolizing cytochrome)
3382	Q05084	ICA69_HUMAN	Islet cell autoantigen 1 (69 kDa islet cell autoantigen) (ICA69) (Islet cell autoantigen p69) (ICAp69) (p69)
79007	Q9H9R9	DBND1_HUMAN	Dysbindin domain-containing protein 1
57679	A8K4R4	A8K4R4_HUMAN	cDNA FLJ75533, highly similar to Homo sapiens amyotrophic lateral sclerosis 2 (juvenile) (ALS2), mRNA (Fragment)
57679	Q96Q42	ALS2_HUMAN	Alsin (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 6 protein) (Amyotrophic lateral sclerosis 2 protein)
843	Q92851	CASPA_HUMAN	Caspase-10 (CASP-10) (EC 3.4.22.63) (Apoptotic protease Mch-4) (FAS-associated death domain protein interleukin-1B-converting enzyme 2) (FLICE2) (ICE-like apoptotic protease 4) [Cleaved into: Caspase-10 subunit p23/17; Caspase-10 subunit p12]
8837	B4E361	B4E361_HUMAN	cDNA FLJ59611, highly similar to CASP8 and FADD-like apoptosis regulator
8837	E9PAP3	E9PAP3_HUMAN	CASP8 and FADD-like apoptosis regulator
8837	O15519	CFLAR_HUMAN	CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12]
7035	P10646	TFPI1_HUMAN	Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI)
55471	B4DQY3	B4DQY3_HUMAN	cDNA FLJ55666
55471	Q7L592	NDUF7_HUMAN	NADH dehydrogenase [ubiquinone] complex I, assembly factor 7 (Protein midA homolog, mitochondrial)
10181	P52756	RBM5_HUMAN	RNA-binding protein 5 (Protein G15) (Putative tumor suppressor LUCA15) (RNA-binding motif protein 5) (Renal carcinoma antigen NY-REN-9)
9108	B7Z9Q7	B7Z9Q7_HUMAN	cDNA, FLJ78921, highly similar to Myotubularin-related protein 7 (EC 3.1.3.-)
9108	B7ZAG8	B7ZAG8_HUMAN	cDNA, FLJ79182, highly similar to Myotubularin-related protein 7 (EC 3.1.3.-)
9108	Q9Y216	MTMR7_HUMAN	Myotubularin-related protein 7 (EC 3.1.3.-)
6542	P52569	CTR2_HUMAN	Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)
381	A4D0Z3	A4D0Z3_HUMAN	ADP-ribosylation factor 5 (ADP-ribosylation factor 5, isoform CRA_a) (cDNA, FLJ92389, Homo sapiens ADP-ribosylation factor 5 (ARF5), mRNA)
381	P84085	ARF5_HUMAN	ADP-ribosylation factor 5
23098	Q05B42	Q05B42_HUMAN	SARM1 protein (Fragment)
23098	Q0D2N8	Q0D2N8_HUMAN	SARM1 protein (Fragment)
23098	Q6SZW1	SARM1_HUMAN	Sterile alpha and TIR motif-containing protein 1 (Sterile alpha and Armadillo repeat protein) (Sterile alpha motif domain-containing protein 2) (MyD88-5) (SAM domain-containing protein 2) (Tir-1 homolog)
26073	B4DEM9	B4DEM9_HUMAN	cDNA FLJ52257, highly similar to Polymerase delta-interacting protein 2
26073	Q9Y2S7	PDIP2_HUMAN	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)
23129	Q9Y4D7	PLXD1_HUMAN	Plexin-D1
204	P54819	KAD2_HUMAN	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]
2288	Q02790	FKBP4_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein) (FKBP51) (52 kDa FK506-binding protein) (52 kDa FKBP) (FKBP-52) (59 kDa immunophilin) (p59) (FK506-binding protein 4) (FKBP-4) (FKBP59) (HSP-binding immunophilin) (HBI) (Immunophilin FKBP52) (Rotamase) [Cleaved into: Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed]
23028	O60341	KDM1A_HUMAN	Lysine-specific histone demethylase 1A (EC 1.-.-.-) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2)
10180	A8K6Q4	A8K6Q4_HUMAN	cDNA FLJ76888, highly similar to Homo sapiens RNA binding motif protein 6 (RBM6), mRNA
10180	E9PGM9	E9PGM9_HUMAN	RNA-binding protein 6
10180	P78332	RBM6_HUMAN	RNA-binding protein 6 (Lung cancer antigen NY-LU-12) (Protein G16) (RNA-binding motif protein 6) (RNA-binding protein DEF-3)
84254	Q8N5S9	KKCC1_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)
5965	P46063	RECQ1_HUMAN	ATP-dependent DNA helicase Q1 (EC 3.6.4.12) (DNA helicase, RecQ-like type 1) (RecQ1) (DNA-dependent ATPase Q1) (RecQ protein-like 1)
55610	Q96JG6	CC132_HUMAN	Coiled-coil domain-containing protein 132
126393	O14558	HSPB6_HUMAN	Heat shock protein beta-6 (HspB6) (Heat shock 20 kDa-like protein p20)
126393	V9HWB6	V9HWB6_HUMAN	Epididymis luminal protein 55
115703	A1A5D2	A1A5D2_HUMAN	SNX26 protein
115703	O14559	RHG33_HUMAN	Rho GTPase-activating protein 33 (Rho-type GTPase-activating protein 33) (Sorting nexin-26) (Tc10/CDC42 GTPase-activating protein)
4706	O14561	ACPM_HUMAN	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)
5166	A4D1H4	A4D1H4_HUMAN	Pyruvate dehydrogenase kinase, isoenzyme 4 (Pyruvate dehydrogenase kinase, isozyme 4, isoform CRA_a) (cDNA, FLJ92766, Homo sapiens pyruvate dehydrogenase kinase, isoenzyme 4 (PDK4), mRNA)
5166	Q16654	PDK4_HUMAN	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4)
51364	O75800	ZMY10_HUMAN	Zinc finger MYND domain-containing protein 10 (Protein BLu)
10165	Q9UJS0	CMC2_HUMAN	Calcium-binding mitochondrial carrier protein Aralar2 (Citrin) (Mitochondrial aspartate glutamate carrier 2) (Solute carrier family 25 member 13)
7982	Q9NRC1	ST7_HUMAN	Suppressor of tumorigenicity 7 protein (Protein FAM4A1) (Protein HELG)
7982	X5DRA0	X5DRA0_HUMAN	Suppression of tumorigenicity 7 isoform A (Fragment)
996	B4DL80	B4DL80_HUMAN	cDNA FLJ57525, highly similar to Cell division cycle protein 27 homolog
996	G5EA36	G5EA36_HUMAN	Cell division cycle 27, isoform CRA_c (Cell division cycle protein 27 homolog)
996	P30260	CDC27_HUMAN	Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)
3052	P53701	CCHL_HUMAN	Cytochrome c-type heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome c-type synthase)
1856	O14641	DVL2_HUMAN	Segment polarity protein dishevelled homolog DVL-2 (Dishevelled-2) (DSH homolog 2)
5976	B3KY55	B3KY55_HUMAN	cDNA FLJ46894 fis, clone UTERU3019708, highly similar to Regulator of nonsense transcripts 1
5976	Q92900	RENT1_HUMAN	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)
8935	O75563	SKAP2_HUMAN	Src kinase-associated phosphoprotein 2 (Pyk2/RAFTK-associated protein) (Retinoic acid-induced protein 70) (SKAP55 homolog) (SKAP-55HOM) (SKAP-HOM) (Src family-associated phosphoprotein 2) (Src kinase-associated phosphoprotein 55-related protein) (Src-associated adapter protein with PH and SH3 domains)
292	P05141	ADT2_HUMAN	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]
292	Q6NVC0	Q6NVC0_HUMAN	SLC25A5 protein (Fragment)
55013	Q9NWR8	MCUB_HUMAN	Mitochondrial calcium uniporter regulatory subunit MCUb (MCUb) (Coiled-coil domain-containing protein 109B) (Essential MCU regulator) (EMRE)
3207	P31270	HXA11_HUMAN	Homeobox protein Hox-A11 (Homeobox protein Hox-1I)
5439	P52435	RPB11_HUMAN	DNA-directed RNA polymerase II subunit RPB11-a (RNA polymerase II subunit B11-a) (RPB11a) (DNA-directed RNA polymerase II subunit J-1) (RNA polymerase II 13.3 kDa subunit)
56919	B4DIS6	B4DIS6_HUMAN	cDNA FLJ56443, highly similar to Putative ATP-dependent RNA helicase DHX33 (EC 3.6.1.-)
56919	Q9H6R0	DHX33_HUMAN	Putative ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33)
4222	P50221	MEOX1_HUMAN	Homeobox protein MOX-1 (Mesenchyme homeobox 1)
221981	Q9UPZ6	THS7A_HUMAN	Thrombospondin type-1 domain-containing protein 7A
3980	E5KLB5	E5KLB5_HUMAN	DNA ligase (EC 6.5.1.1)
3980	E5KLB6	E5KLB6_HUMAN	DNA ligase (EC 6.5.1.1)
3980	P49916	DNLI3_HUMAN	DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)
79657	Q9H6T3	RPAP3_HUMAN	RNA polymerase II-associated protein 3
6296	Q53FZ2	ACSM3_HUMAN	Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (Protein SA homolog)
81691	Q96IC2	REXON_HUMAN	Putative RNA exonuclease NEF-sp (EC 3.1.-.-)
57019	H3BT65	H3BT65_HUMAN	Anamorsin
57019	Q6FI81	CPIN1_HUMAN	Anamorsin (Cytokine-induced apoptosis inhibitor 1) (Fe-S cluster assembly protein DRE2 homolog)
80256	Q7L5A3	F214B_HUMAN	Protein FAM214B
51226	Q9P299	COPZ2_HUMAN	Coatomer subunit zeta-2 (Zeta-2-coat protein) (Zeta-2 COP)
5577	B3KY43	B3KY43_HUMAN	cDNA FLJ46798 fis, clone TRACH3031660, highly similar to cAMP-dependent protein kinase type II-beta regulatory subunit
5577	P31323	KAP3_HUMAN	cAMP-dependent protein kinase type II-beta regulatory subunit
10943	Q8N5Y2	MS3L1_HUMAN	Male-specific lethal 3 homolog (Male-specific lethal-3 homolog 1) (Male-specific lethal-3 protein-like 1) (MSL3-like 1)
1387	Q92793	CBP_HUMAN	CREB-binding protein (EC 2.3.1.48)
9256	A7E2C5	A7E2C5_HUMAN	BZRAP1 protein
9256	B2RUT8	B2RUT8_HUMAN	Benzodiazapine receptor (Peripheral) associated protein 1
9256	B7ZVZ7	B7ZVZ7_HUMAN	BZRAP1 protein
9256	O95153	RIMB1_HUMAN	Peripheral-type benzodiazepine receptor-associated protein 1 (PRAX-1) (Peripheral benzodiazepine receptor-interacting protein) (PBR-IP) (RIMS-binding protein 1) (RIM-BP1)
9256	X5DQQ3	X5DQQ3_HUMAN	Benzodiazapine receptor peripheral-associated protein 1 isoform B (Fragment)
4353	P05164	PERM_HUMAN	Myeloperoxidase (MPO) (EC 1.11.2.2) [Cleaved into: Myeloperoxidase; 89 kDa myeloperoxidase; 84 kDa myeloperoxidase; Myeloperoxidase light chain; Myeloperoxidase heavy chain]
6936	A4UHR0	A4UHR0_HUMAN	C2ORF3 variant 3
6936	B3KUM5	B3KUM5_HUMAN	cDNA FLJ40245 fis, clone TESTI2023968, highly similar to GC-RICH SEQUENCE DNA-BINDING FACTOR
6936	P16383	GCFC2_HUMAN	GC-rich sequence DNA-binding factor 2 (GC-rich sequence DNA-binding factor) (Transcription factor 9) (TCF-9)
6936	Q9BVX3	Q9BVX3_HUMAN	C2orf3 protein
84058	Q9H977	WDR54_HUMAN	WD repeat-containing protein 54
54677	Q9UKG9	OCTC_HUMAN	Peroxisomal carnitine O-octanoyltransferase (COT) (EC 2.3.1.137)
5244	P21439	MDR3_HUMAN	Multidrug resistance protein 3 (EC 3.6.3.44) (ATP-binding cassette sub-family B member 4) (P-glycoprotein 3)
55904	Q8IZD2	KMT2E_HUMAN	Histone-lysine N-methyltransferase 2E (Lysine N-methyltransferase 2E) (EC 2.1.1.43) (Myeloid/lymphoid or mixed-lineage leukemia protein 5)
57414	Q6NTF9	RHBD2_HUMAN	Rhomboid domain-containing protein 2
30812	P57073	SOX8_HUMAN	Transcription factor SOX-8
25998	Q9P2D0	IBTK_HUMAN	Inhibitor of Bruton tyrosine kinase (IBtk)
7748	O14628	ZN195_HUMAN	Zinc finger protein 195
23077	O75592	MYCB2_HUMAN	E3 ubiquitin-protein ligase MYCBP2 (EC 6.3.2.-) (Myc-binding protein 2) (Pam/highwire/rpm-1 protein) (Protein associated with Myc)
26224	Q9UKT7	FBXL3_HUMAN	F-box/LRR-repeat protein 3 (F-box and leucine-rich repeat protein 3A) (F-box/LRR-repeat protein 3A)
5164	Q15119	PDK2_HUMAN	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 2) (PDH kinase 2) (PDKII)
3675	P26006	ITA3_HUMAN	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]
7543	P17010	ZFX_HUMAN	Zinc finger X-chromosomal protein
7543	Q59EB9	Q59EB9_HUMAN	X-linked zinc finger protein variant (Fragment)
7543	Q8WXB7	Q8WXB7_HUMAN	X-linked zinc finger protein (Fragment)
3920	P13473	LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (CD antigen CD107b)
79893	Q9H3C7	GGNB2_HUMAN	Gametogenetin-binding protein 2 (Laryngeal carcinoma-related protein 1) (Protein ZNF403)
3674	P08514	ITA2B_HUMAN	Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]
51666	Q9Y574	ASB4_HUMAN	Ankyrin repeat and SOCS box protein 4 (ASB-4)
51573	Q9NZC3	GDE1_HUMAN	Glycerophosphodiester phosphodiesterase 1 (EC 3.1.4.44) (Membrane-interacting protein of RGS16) (RGS16-interacting membrane protein)
55049	Q96EN9	CS060_HUMAN	Uncharacterized protein C19orf60
9244	O75462	CRLF1_HUMAN	Cytokine receptor-like factor 1 (Cytokine-like factor 1) (CLF-1) (ZcytoR5)
114881	Q8WXP9	Q8WXP9_HUMAN	Oxysterol-binding protein
114881	Q9BZF2	OSBL7_HUMAN	Oxysterol-binding protein-related protein 7 (ORP-7) (OSBP-related protein 7)
26022	Q9Y2Y6	TMM98_HUMAN	Transmembrane protein 98 (Protein TADA1)
6833	Q09428	ABCC8_HUMAN	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)
6348	A0N0R1	A0N0R1_HUMAN	C-C motif chemokine
6348	P10147	CCL3_HUMAN	C-C motif chemokine 3 (G0/G1 switch regulatory protein 19-1) (Macrophage inflammatory protein 1-alpha) (MIP-1-alpha) (PAT 464.1) (SIS-beta) (Small-inducible cytokine A3) (Tonsillar lymphocyte LD78 alpha protein) [Cleaved into: MIP-1-alpha(4-69) (LD78-alpha(4-69))]
11276	Q9UMZ2	SYNRG_HUMAN	Synergin gamma (AP1 subunit gamma-binding protein 1) (Gamma-synergin)
54972	Q24JP5	T132A_HUMAN	Transmembrane protein 132A (HSPA5-binding protein 1)
163	P63010	AP2B1_HUMAN	AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)
163	Q96EL6	Q96EL6_HUMAN	Putative uncharacterized protein (Fragment)
6863	P20366	TKN1_HUMAN	Protachykinin-1 (PPT) [Cleaved into: Substance P; Neurokinin A (NKA) (Neuromedin L) (Substance K); Neuropeptide K (NPK); Neuropeptide gamma; C-terminal-flanking peptide]
6863	Q9Y494	Q9Y494_HUMAN	Gamma preprotachykinin (Fragment)
10127	D3DUC1	D3DUC1_HUMAN	Zinc finger protein 263, isoform CRA_a
10127	O14978	ZN263_HUMAN	Zinc finger protein 263 (Zinc finger protein FPM315) (Zinc finger protein with KRAB and SCAN domains 12)
6376	A0N0N7	A0N0N7_HUMAN	Chemokine (C-X3-C motif) ligand 1 (cDNA, FLJ94424, Homo sapiens chemokine (C-X3-C motif) ligand 1 (CX3CL1), mRNA)
6376	P78423	X3CL1_HUMAN	Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine]
64847	Q8TB22	SPT20_HUMAN	Spermatogenesis-associated protein 20 (Sperm-specific protein 411) (Ssp411)
8913	O43497	CAC1G_HUMAN	Voltage-dependent T-type calcium channel subunit alpha-1G (Cav3.1c) (NBR13) (Voltage-gated calcium channel subunit alpha Cav3.1)
51330	Q9NP84	TNR12_HUMAN	Tumor necrosis factor receptor superfamily member 12A (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Tweak-receptor) (TweakR) (CD antigen CD266)
1750	P56179	DLX6_HUMAN	Homeobox protein DLX-6
4293	B4DZC4	B4DZC4_HUMAN	cDNA FLJ60378, highly similar to Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25)
4293	G3V347	G3V347_HUMAN	Mitogen-activated protein kinase kinase kinase 9
4293	J3KPI6	J3KPI6_HUMAN	Mitogen-activated protein kinase kinase kinase 9
4293	P80192	M3K9_HUMAN	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)
4293	Q8NEB1	Q8NEB1_HUMAN	Similar to mitogen-activated protein kinase kinase kinase 9 (Fragment)
5898	P11233	RALA_HUMAN	Ras-related protein Ral-A
55971	Q9UHR4	BI2L1_HUMAN	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 (BAI1-associated protein 2-like protein 1) (Insulin receptor tyrosine kinase substrate)
80853	Q6ZMT4	KDM7A_HUMAN	Lysine-specific demethylase 7A (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 1D) (Lysine-specific demethylase 7)
2115	B7Z2C9	B7Z2C9_HUMAN	cDNA FLJ50494, highly similar to ETS translocation variant 1
2115	P50549	ETV1_HUMAN	ETS translocation variant 1 (Ets-related protein 81)
55750	A4D1U5	A4D1U5_HUMAN	Multiple substrate lipid kinase, isoform CRA_a (Uncharacterized protein)
55750	Q53H12	AGK_HUMAN	Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)
221	P43353	AL3B1_HUMAN	Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.5) (Aldehyde dehydrogenase 7)
55001	Q5TAA0	TTC22_HUMAN	Tetratricopeptide repeat protein 22 (TPR repeat protein 22)
57157	Q8N3S3	PHTF2_HUMAN	Putative homeodomain transcription factor 2
9855	O94887	FARP2_HUMAN	FERM, RhoGEF and pleckstrin domain-containing protein 2 (FERM domain including RhoGEF) (FIR) (Pleckstrin homology domain-containing family C member 3) (PH domain-containing family C member 3)
10083	Q9Y6N9	USH1C_HUMAN	Harmonin (Antigen NY-CO-38/NY-CO-37) (Autoimmune enteropathy-related antigen AIE-75) (Protein PDZ-73) (Renal carcinoma antigen NY-REN-3) (Usher syndrome type-1C protein)
